id,sku,description,model_number
1,18240019,IMAC 27 3.4 I5 8G 1TB RET 5K,MNE92LL/A
1,18240020,IMAC 27 3.5 I5 8G 1TB RET 5K,MNEA2LL/A
1,18240021,IMAC 27 3.8 I5 8G 2TB RET 5K,MNED2LL/A
1,18240428,IPAD PRO 10.5IN WIFI 64GB GRAY,MQDT2LL/A
1,18240429,IPAD PRO 10.5IN WIFI 64GB SILV,MQDW2LL/A
1,18240430,IPAD PRO 10.5IN WIFI 64GB GOLD,MQDX2LL/A
1,18240431,IPAD PRO 10.5-IN WIFI 64GB RG,MQDY2LL/A
1,18240432,IPAD PRO 10.5IN WIFI 256GB GRY,MPDY2LL/A
1,18240434,IPAD PRO 10.5IN WIFI 256GB SLV,MPF02LL/A
1,18240435,IPAD PRO 10.5IN WIFI 256GB GLD,MPF12LL/A
1,18240436,IPADPRO 10.5IN WIFI 256GB ROSE,MPF22LL/A
1,18240437,IPAD PRO 10.5IN WIFI 512GB GRY,MPGH2LL/A
1,18240438,IPAD PRO 10.5IN WIFI 512GB SLV,MPGJ2LL/A
1,18240439,IPAD PRO 10.5IN WIFI 512GB GLD,MPGK2LL/A
1,18240440,IPADPRO 10.5IN WIFI 512GB ROSE,MPGL2LL/A
1,18240441,IPADPRO 10.5 WIF CELL 64GB GRY,MQEY2LL/A
1,18240442,IPADPRO 10.5 WIF CELL 64GB SLV,MQF02LL/A
1,18240443,IPADPRO 10.5 WIF CELL 64GB GLD,MQF12LL/A
1,18240444,IPADPRO 10.5 WIF CELL 64GB RSE,MQF22LL/A
1,18240445,IPADPRO 10.5 WIFCELL 256GB GRY,MPHG2LL/A
1,18240450,IPADPRO 10.5 WIFCELL 256GB SLV,MPHH2LL/A
1,18240458,IPADPRO 10.5 WIFCELL 256GB GLD,MPHJ2LL/A
1,18240488,IPADPRO 10.5 WIFCELL256GB ROSE,MPHK2LL/A
1,18240495,IPADPRO 10.5 WIFICELL 512GB GY,MPME2LL/A
1,18240502,IPADPRO 10.5 WIFICELL512GB SLV,MPMF2LL/A
1,18240503,IPADPRO 10.5 WIFICELL 512GB GD,MPMG2LL/A
1,18240504,IPADPRO 10.5 WIFCELL 512GB RSE,MPMH2LL/A
